LOTR,SW,HP
2d animation,1970s,11 year old
41st century b.c.,abyss,11 year old boy
ambush,action girl,1990s
aragorn character,action hero,abusive aunt
axe fight,aerial combat,abusive relative
back from the dead,alderaan the planet,abusive uncle
based on novel,alien,albus dumbledore character
battle,alien creature,all star cast
battleaxe,alien race,amphibian
battlefield,allegory of multiple historical events.,animal
bilbo baggins character,alternate version,animal enclosure
blood,ambush,animate painting
blood splatter,ancient astronaut,animated chess
boromir character,android,applause
bow and arrow,anger,argus filch character
bridge,animated chess,attacked by vine
castle,anti hero,attempted child strangulation
cavalry,aqualish,aunt
cavalry charge,assault,baby dragon
chase,astromech droid,bank
combat,attack,bank vault
cult director,aunt,based on novel
cult film,aunt nephew relationship,based on young adult novel
dark fantasy,automatic doors,bearded man
death of hero,bad guy bar,best friend
demon,band,bird
dwarf,bar,birthday
elf,bar fight,birthday cake
elrond character,battle,blockbuster
emaciation,beard,boarding school
enchantment,beast,boat
end of mankind,binoculars,book
epic,bipedal droid,boy
falling to death,bipedal robot,boy hero
fantasy world,black armor,boy wears eyeglasses
fictional country,black cape,bravery
fictional war,black helmet,brick wall
first part,blaster,broomstick
five word title,blaster pistol,bully
foot chase,blaster rifle,burning candle
fortress,blockade runner,candy
friends who live together,blockbuster,canine
frodo baggins character,boba fett character,cat
galadriel character,bounty hunter,centaur
gandalf character,brother sister relationship,character name in title
gimli character,burnt body,chess
goblin,c 3po character,child abuse
gollum character,cantina,child hero
good versus evil,canyon,child in jeopardy
gore,captain,chocolate
group,castle thunder,chocolate animal
halfling,character's point of view camera shot,chocolate frog
hero,chase,christmas
hobbit,chewbacca character,class
horse chase,cleaning,classroom
hunger,cloak,cloak
journey,colon in title,common room
kingdom,combat,cousin
last stand,comlink,creature
legolas character,communications device,crossbow
live action and animation,computer,cult figure
lord of the rings,computer system,cult film
macguffin,controversy,damaged spectacles
magic,corvette starship,dark fantasy
middle earth,courage,dean thomas character
mission,crash site,destiny
monster,crashed pod,diagon alley
multiple cameos,creature,dog
no opening credits,cruiser,dormitory
orc,cruiser starship,draco malfoy character
prehistoric times,cult classic,dragon
prehistory,cult favorite,dragon egg
psychedelic image,cult figure,dudley dursley character
psychotronic film,cult film,dwarf
quest,darth vader character,dysfunctional family
rescue,death of friend,elf
right hand man,death ray,elitism
ring,death star,enchanted ceiling
rotoscoping,deep voice,england
samwise gamgee character,desert,epic
saruman the white character,desert planet,evil wizard
self sacrifice,design flaw,eyeglasses
sequel,destiny,fairy creature
shot to death,destruction of planet,fairy tale
shot with a bow and arrow,detention cell,family relationships
shot with multiple arrows,devaronian,family secret
showdown,dinner,fantasy world
sidekick,disability,feast
siege,disarming someone,feline
sorcerer,disguise,female ghost
stabbed in the shoulder,disney,fictitious sport
staff,disney star wars,filius flitwick character
standoff,distraction,first film in series
starving,droid,first of series
super villain,droid human relationship,first part
surrealism,duel,flying broomstick
sword and fantasy,elevator,flying key
sword and sandal,emperor,flying object
