2theta,K,K 350,K 550,MG,MG+GLY
2,250,230,254,257,271
2.04,242,189,259,234,261
2.08,237,196,254,257,274
2.12,238,194,190,216,224
2.16,233,182,219,224,215
2.2,216,207,215,188,205
2.24,224,166,187,228,222
2.28,208,192,176,181,213
2.32,209,174,182,211,228
2.36,214,152,200,179,203
2.4,199,175,178,198,194
2.44,184,172,181,172,164
2.48,192,151,161,188,192
2.52,175,146,174,177,187
2.56,196,151,179,176,197
2.6,186,150,170,169,182
2.64,193,145,163,177,172
2.68,169,147,180,150,180
2.72,156,160,157,170,153
2.76,168,144,152,158,144
2.8,191,120,146,129,167
2.84,187,150,140,154,151
2.88,148,137,133,140,163
2.92,158,142,148,131,153
2.96,159,122,130,143,147
3,164,113,138,143,128
3.04,143,138,138,125,127
3.08,152,131,119,139,137
3.12,151,129,129,128,144
3.16,120,114,113,112,137
3.2,146,122,124,106,134
3.24,118,141,132,127,117
3.28,152,111,116,113,98
3.32,145,113,124,112,141
3.36,136,111,111,111,107
3.4,139,127,126,102,110
3.44,154,120,119,109,120
3.48,116,118,110,100,106
3.52,142,101,116,112,109
3.56,133,118,126,109,96
3.6,148,101,114,83,100
3.64,135,110,117,90,116
3.68,123,94,102,92,101
3.72,124,116,129,76,96
3.76,99,112,121,109,103
3.8,130,94,100,75,77
3.84,114,111,112,94,90
3.88,116,99,109,95,106
3.92,112,109,102,83,90
3.96,108,73,97,61,93
4,117,102,107,91,79
4.04,88,83,96,82,86
4.08,122,88,85,92,95
4.12,110,101,108,98,91
4.16,98,94,85,100,81
4.2,88,83,101,91,86
4.24,95,72,75,81,81
4.28,101,74,96,79,82
4.32,112,88,88,82,83
4.36,97,79,98,72,68
4.4,105,81,85,69,84
4.44,89,87,81,65,90
4.48,97,74,82,77,67
4.52,82,77,88,98,68
4.56,80,89,70,68,74
4.6,105,58,74,82,89
4.64,99,96,105,63,55
4.68,93,82,71,74,72
4.72,77,75,81,76,64
4.76,92,88,81,52,69
4.8,94,84,82,55,69
4.84,87,70,90,71,56
4.88,95,70,74,58,76
4.92,89,82,73,64,51
4.96,92,72,77,72,61
5,95,76,68,68,78
5.04,95,68,53,50,66
5.08,88,71,52,44,56
5.12,76,79,81,69,58
5.16,93,72,81,62,52
5.2,74,80,79,56,58
5.24,98,73,71,56,83
5.28,107,87,85,51,57
5.32,88,86,78,71,63
5.36,91,83,94,49,53
5.4,101,83,84,71,64
5.44,112,82,88,58,44
5.48,103,106,76,46,63
5.52,115,88,85,46,53
5.56,129,99,85,65,66
5.6,118,113,84,55,56
5.64,125,113,71,62,38
5.68,175,134,104,48,52
5.72,169,113,116,58,57
5.76,212,137,120,60,65
5.8,201,158,129,70,63
5.84,208,151,127,60,58
5.88,230,155,121,80,60
5.92,219,154,160,57,54
5.96,252,194,158,91,62
6,302,197,158,61,66
6.04,325,212,189,71,56
6.08,427,246,177,61,47
6.12,439,262,225,79,43
6.16,504,305,234,74,71
6.2,512,384,224,54,67
6.24,580,408,254,84,64
6.28,544,447,309,78,58
6.32,496,424,342,75,57
6.36,437,409,334,72,69
6.4,417,367,368,84,57
6.44,319,324,325,85,59
6.48,283,248,331,105,67
6.52,282,211,286,84,57
6.56,198,228,280,82,64
6.6,196,181,233,103,64
6.64,194,156,256,80,63
6.68,168,139,246,87,69
6.72,185,154,187,104,66
6.76,176,146,191,113,61
6.8,157,145,185,104,58
6.84,172,124,154,123,71
6.88,133,162,185,101,68
6.92,162,133,172,110,61
6.96,121,130,153,118,61
7,139,140,149,93,70
7.04,143,115,141,124,80
7.08,155,123,152,125,84
7.12,136,120,149,94,67
7.16,131,109,115,99,76
7.2,171,109,135,118,78
7.24,139,103,151,140,82
7.28,170,125,132,167,88
7.32,137,142,140,140,88
7.36,182,122,137,139,103
7.4,134,106,150,140,100
7.44,127,118,152,152,122
7.48,125,111,128,137,122
7.52,119,105,132,146,107
7.56,145,116,137,167,124
7.6,157,122,149,165,147
7.64,119,131,155,174,128
7.68,152,114,155,177,114
7.72,124,122,122,175,147
7.76,120,113,140,172,162
7.8,107,118,127,163,160
7.84,131,115,145,203,177
7.88,142,120,135,173,221
7.92,135,96,120,190,196
7.96,160,104,139,178,215
8,129,118,132,199,234
8.04,137,87,139,185,238
8.08,112,109,142,188,259
8.12,133,120,130,211,262
8.16,144,113,155,208,293
8.2,143,116,138,192,314
8.24,150,130,153,205,307
8.28,120,131,136,188,321
8.32,141,120,148,212,310
8.36,118,118,126,206,374
8.4,115,105,142,202,359
8.44,140,111,136,203,392
8.48,128,91,126,219,431
8.52,147,114,131,229,448
8.56,120,106,147,238,490
8.6,135,104,137,259,486
8.64,131,119,124,262,543
8.68,144,114,139,259,517
8.72,137,107,136,254,536
8.76,142,95,182,260,457
8.8,120,113,117,227,426
8.84,112,85,144,209,314
8.88,130,115,138,189,280
8.92,131,96,108,179,195
8.96,104,90,102,149,172
9,109,103,107,160,148
9.04,85,91,97,92,110
9.08,107,61,78,106,115
9.12,89,88,90,115,104
9.16,92,70,82,95,83
9.2,75,72,77,111,81
9.24,86,57,90,83,84
9.28,89,68,67,75,77
9.32,78,57,71,70,54
9.36,74,58,66,70,54
9.4,84,47,68,85,61
9.44,79,54,68,70,56
9.48,60,57,77,69,44
9.52,68,61,59,53,51
9.56,71,55,71,63,42
9.6,52,44,52,66,42
9.64,70,46,60,63,38
9.68,67,67,70,47,46
9.72,63,51,62,55,38
9.76,71,50,54,50,43
9.8,62,51,69,48,34
9.84,57,38,65,57,31
9.88,49,42,62,52,29
9.92,62,50,60,52,39
9.96,55,35,46,53,26
10,49,36,49,41,22
10.04,51,43,56,40,34
10.08,61,50,72,57,25
10.12,42,31,46,48,24
10.16,62,48,48,44,25
10.2,75,52,55,49,22
10.24,58,41,61,53,27
10.28,57,50,52,43,34
10.32,63,54,57,67,32
10.36,67,48,53,63,29
10.4,59,43,59,53,34
10.44,78,51,57,46,33
10.48,72,49,58,62,23
10.52,61,47,58,45,33
10.56,76,64,52,46,32
