x	y_obs
3.19	44030
3.29	46231
3.39	46080
3.49	45414
3.59	45430
3.69	44414
3.79	44197
3.89	43818
3.99	43260
4.09	43518
4.19	43609
4.29	43701
4.39	44984
4.49	46981
4.59	49760
4.69	53767
4.79	57277
4.89	60796
4.99	64319
5.09	67175
5.19	70465
5.29	73367
5.39	76227
5.49	79064
5.59	80696
5.69	83996
5.79	85016
5.89	86672
5.99	87475
6.09	87544
6.19	85849
6.29	86217
6.39	84337
6.49	84763
6.59	83856
6.69	82447
6.79	81722
6.89	80894
6.99	80035
7.09	79078
7.19	77736
7.29	77168
7.39	76573
7.49	75702
7.59	74278
7.69	73128
7.79	72686
7.89	71138
7.99	70174
8.09	68901
8.19	68607
8.29	67656
8.39	66668
8.49	66203
8.59	64825
8.69	63946
8.79	62896
8.89	61646
8.99	61153
9.09	59713
9.19	58614
9.29	57951
9.39	57100
9.49	56322
9.59	55177
9.69	54746
9.79	53482
9.89	52361
9.99	51960
10.09	50956
10.19	50147
10.29	49530
10.39	48725
10.49	47641
10.59	47413
10.69	46574
10.79	45949
10.89	45553
10.99	45124
11.09	45328
11.19	44869
11.29	45145
11.39	44333
11.49	44845
11.59	44435
11.69	43995
11.79	44314
11.89	44199
11.99	44520
12.09	44551
12.19	44305
12.29	44684
12.39	43871
12.49	44695
12.59	43781
12.69	44270
12.79	43945
12.89	43925
12.99	44241
13.09	43919
13.19	44059
13.29	44108
13.39	43735
13.49	43720
13.59	43746
13.69	43866
13.79	43925
13.89	43826
13.99	43898
14.09	44122
14.19	43896
14.29	43703
14.39	43969
14.49	43538
14.59	43518
14.69	43627
14.79	43882
14.89	43735
14.99	43924
15.09	43545
15.19	44058
15.29	43864
15.39	44545
15.49	44192
15.59	43922
15.69	43927
15.79	43999
15.89	43215
15.99	43840
16.09	43619
16.19	43370
16.29	43358
16.39	43397
16.49	43567
16.59	43564
16.69	43745
16.79	43647
16.89	43293
16.99	43227
17.09	43418
17.19	43432
17.29	43968
17.39	43703
17.49	43668
17.59	43639
17.69	43441
17.79	43463
17.89	43755
17.99	43879
18.09	43837
18.19	43747
18.29	44027
18.39	43679
18.49	43762
18.59	43256
18.69	43446
18.79	43748
18.89	43480
18.99	43997
19.09	43703
19.19	43342
19.29	43356
19.39	43742
19.49	43774
19.59	43402
19.69	43358
19.79	43327
19.89	43567
19.99	43366
20.09	43199
20.19	43259
20.29	43674
20.39	43172
20.49	43362
20.59	43480
20.69	43653
20.79	43495
20.89	43874
20.99	43571
21.09	43429
21.19	43385
21.29	43657
21.39	43565
21.49	43538
21.59	43305
21.69	43691
21.79	43386
21.89	43086
21.99	43330
22.09	43485
22.19	43713
22.29	43398
22.39	43583
22.49	43250
22.59	43354
22.69	43431
22.79	43332
22.89	42930
22.99	43564
23.09	43438
23.19	43094
23.29	43073
23.39	43775
23.49	43001
23.59	43391
23.69	43391
23.79	43633
23.89	43570
23.99	43742
24.09	43614
24.19	43973
24.29	43458
24.39	43319
24.49	42935
24.59	43383
24.69	43470
24.79	43526
24.89	43566
24.99	43364
25.09	43549
25.19	43528
25.29	43979
25.39	43588
25.49	43819
25.59	44063
25.69	43471
25.79	43651
25.89	43967
25.99	43740
26.09	43506
26.19	43685
26.29	43320
26.39	43649
26.49	43322
26.59	44159
26.69	43411
26.79	43226
26.89	43234
26.99	43345
27.09	43508
27.19	43700
27.29	43570
27.39	43667
27.49	43453
27.59	43549
27.69	43922
27.79	43504
27.89	43684
27.99	43596
28.09	43819
28.19	44076
28.29	43942
28.39	43894
28.49	43965
28.59	43401
28.69	43534
28.79	44062
28.89	44005
28.99	43807
29.09	43982
29.19	43987
29.29	43681
29.39	43936
29.49	44017
29.59	44483
29.69	44310
29.79	44552
29.89	44654
29.99	44289
30.09	44875
30.19	44346
30.29	44461
30.39	44695
30.49	45454
30.59	45596
30.69	46262
30.79	47541
30.89	49625
30.99	52699
31.09	56966
31.19	61751
31.29	65309
31.39	65128
31.49	61747
31.59	57485
31.69	52593
31.79	49423
31.89	47441
31.99	46204
32.09	45455
32.19	45366
32.29	44772
32.39	44637
32.49	44678
32.59	44069
32.69	44492
32.79	44127
32.89	43790
32.99	44008
33.09	43704
33.19	44120
33.29	44106
33.39	43494
33.49	43844
33.59	43659
33.69	43855
33.79	43858
33.89	43855
33.99	44135
34.09	43840
34.19	44435
34.29	44074
34.39	43996
34.49	44085
34.59	43615
34.69	43608
34.79	43377
34.89	43672
34.99	44041
35.09	43585
35.19	43708
35.29	43577
35.39	43547
35.49	43567
35.59	43718
35.69	43595
35.79	43569
35.89	43754
35.99	44144
36.09	44483
36.19	45688
36.29	46897
36.39	47054
36.49	46147
36.59	45667
36.69	44710
36.79	44018
36.89	43440
36.99	43578
