x	y_obs
16	1163
16.017	1092
16.034	1079
16.051	1107
16.068	1103
16.085	1095
16.102	1046
16.119	1102
16.136	1070
16.153	1079
16.17	1085
16.187	1076
16.204	1114
16.221	1129
16.238	1105
16.255	1098
16.272	1070
16.289	1085
16.306	1082
16.323	1078
16.34	1097
16.357	1115
16.374	1071
16.391	1033
16.408	1092
16.425	1116
16.442	1086
16.459	1082
16.476	1083
16.493	1098
16.51	1093
16.527	1070
16.544	1087
16.561	1114
16.578	1089
16.595	1060
16.612	1074
16.629	1102
16.646	1095
16.663	1102
16.68	1116
16.697	1087
16.714	1116
16.731	1111
16.748	1074
16.765	1064
16.782	1082
16.799	1144
16.816	1097
16.833	1056
16.85	1051
16.867	1119
16.884	1119
16.901	1123
16.918	1102
16.935	1122
16.952	1123
16.969	1123
16.986	1113
17.003	1105
17.02	1114
17.037	1121
17.054	1095
17.071	1135
17.088	1125
17.105	1103
17.122	1047
17.139	1066
17.156	1070
17.173	1058
17.19	1067
17.207	1098
17.224	1111
17.241	1120
17.258	1097
17.275	1052
17.292	1069
17.309	1106
17.326	1170
17.343	1115
17.36	1099
17.377	1139
17.394	1092
17.411	1088
17.428	1090
17.445	1079
17.462	1052
17.479	1052
17.496	1131
17.513	1154
17.53	1117
17.547	1098
17.564	1081
17.581	1043
17.598	1067
17.615	1087
17.632	1061
17.649	1074
17.666	1093
17.683	1097
17.7	1148
17.717	1099
17.734	1080
17.751	1129
17.768	1106
17.785	1076
17.802	1112
17.819	1105
17.836	1103
17.853	1062
17.87	1081
17.887	1109
17.904	1151
17.921	1060
17.938	1058
17.955	1114
17.972	1035
17.989	1041
18.006	1127
18.023	1137
18.04	1058
18.057	1130
18.074	1092
18.091	1105
18.108	1101
18.125	1080
18.142	1050
18.159	1062
18.176	1089
18.193	1077
18.21	1091
18.227	1113
18.244	1142
18.261	1107
18.278	1113
18.295	1093
18.312	1117
18.329	1096
18.346	1090
18.363	1126
18.38	1077
18.397	1069
18.414	1133
18.431	1141
18.448	1077
18.465	1070
18.482	1113
18.499	1101
18.516	1065
18.533	1061
18.55	1080
18.567	1116
18.584	1111
18.601	1076
18.618	1076
18.635	1098
18.652	1093
18.669	1112
18.686	1137
18.703	1125
18.72	1063
18.737	1077
18.754	1087
18.771	1116
18.788	1097
18.805	1135
18.822	1110
18.839	1119
18.856	1123
18.873	1118
18.89	1138
18.907	1086
18.924	1071
18.941	1158
18.958	1168
18.975	1136
18.992	1124
19.009	1169
19.026	1078
19.043	1102
19.06	1161
19.077	1121
19.094	1136
19.111	1136
19.128	1020
19.145	1059
19.162	1113
19.179	1175
19.196	1122
19.213	1102
19.23	1106
19.247	1123
19.264	1069
19.281	1119
19.298	1109
19.315	1078
19.332	1120
19.349	1119
19.366	1106
19.383	1131
19.4	1110
19.417	1108
19.434	1149
19.451	1134
19.468	1090
19.485	1107
19.502	1160
19.519	1143
19.536	1153
19.553	1125
19.57	1090
19.587	1058
19.604	1109
19.621	1075
19.638	1082
19.655	1093
19.672	1140
19.689	1115
19.706	1117
19.723	1135
19.74	1133
19.757	1105
19.774	1114
19.791	1159
19.808	1197
19.825	1172
19.842	1211
19.859	1244
19.876	1267
19.893	1299
19.91	1405
19.927	1482
19.944	1577
19.961	1784
19.978	1747
19.995	1588
20.012	1565
20.029	1490
20.046	1410
20.063	1289
20.08	1238
20.097	1171
20.114	1143
20.131	1144
20.148	1161
20.165	1146
20.182	1150
20.199	1158
20.216	1189
20.233	1138
20.25	1119
20.267	1123
20.284	1106
20.301	1111
20.318	1123
20.335	1127
20.352	1115
20.369	1166
20.386	1159
20.403	1148
20.42	1174
20.437	1197
20.454	1201
20.471	1169
20.488	1133
20.505	1168
20.522	1160
20.539	1120
20.556	1096
20.573	1135
20.59	1154
20.607	1169
20.624	1120
20.641	1120
20.658	1123
20.675	1109
20.692	1184
20.709	1127
20.726	1103
20.743	1182
20.76	1143
20.777	1133
20.794	1160
20.811	1187
20.828	1127
20.845	1142
20.862	1136
20.879	1086
20.896	1119
20.913	1130
20.93	1168
20.947	1065
20.964	1195
20.981	1154
20.998	1092
21.015	1153
21.032	1142
21.049	1168
21.066	1070
21.083	1141
21.1	1193
21.117	1194
21.134	1141
21.151	1131
21.168	1138
21.185	1173
21.202	1142
21.219	1139
21.236	1174
21.253	1149
21.27	1134
21.287	1173
21.304	1191
21.321	1136
21.338	1100
21.355	1108
21.372	1125
21.389	1130
21.406	1180
21.423	1182
21.44	1119
21.457	1144
21.474	1163
21.491	1168
21.508	1152
21.525	1129
21.542	1129
21.559	1139
21.576	1148
21.593	1177
21.61	1145
21.627	1150
21.644	1211
21.661	1156
21.678	1159
21.695	1178
21.712	1151
21.729	1219
21.746	1165
21.763	1239
21.78	1211
21.797	1179
21.814	1190
21.831	1192
21.848	1268
21.865	1187
