x	y_obs	y_bkg
16	1163	1154.555
16.017	1092	1154.536
16.034	1079	1154.517
16.051	1107	1154.498
16.068	1103	1154.479
16.085	1095	1154.46
16.102	1046	1154.441
16.119	1102	1154.422
16.136	1070	1154.403
16.153	1079	1154.384
16.17	1085	1154.365
16.187	1076	1154.346
16.204	1114	1154.327
16.221	1129	1154.308
16.238	1105	1154.289
16.255	1098	1154.27
16.272	1070	1154.251
16.289	1085	1154.232
16.306	1082	1154.213
16.323	1078	1154.194
16.34	1097	1154.175
16.357	1115	1154.156
16.374	1071	1154.138
16.391	1033	1154.119
16.408	1092	1154.1
16.425	1116	1154.081
16.442	1086	1154.062
16.459	1082	1154.043
16.476	1083	1154.025
16.493	1098	1154.006
16.51	1093	1153.987
16.527	1070	1153.968
16.544	1087	1153.95
16.561	1114	1153.931
16.578	1089	1153.912
16.595	1060	1153.894
16.612	1074	1153.875
16.629	1102	1153.856
16.646	1095	1153.838
16.663	1102	1153.819
16.68	1116	1153.801
16.697	1087	1153.782
16.714	1116	1153.764
16.731	1111	1153.745
16.748	1074	1153.727
16.765	1064	1153.708
16.782	1082	1153.69
16.799	1144	1153.671
16.816	1097	1153.653
16.833	1056	1153.634
16.85	1051	1153.616
16.867	1119	1153.598
16.884	1119	1153.579
16.901	1123	1153.561
16.918	1102	1153.543
16.935	1122	1153.524
16.952	1123	1153.506
16.969	1123	1153.488
16.986	1113	1153.47
17.003	1105	1153.452
17.02	1114	1153.433
17.037	1121	1153.415
17.054	1095	1153.397
17.071	1135	1153.379
17.088	1125	1153.361
17.105	1103	1153.343
17.122	1047	1153.325
17.139	1066	1153.307
17.156	1070	1153.29
17.173	1058	1153.272
17.19	1067	1153.254
17.207	1098	1153.236
17.224	1111	1153.218
17.241	1120	1153.201
17.258	1097	1153.183
17.275	1052	1153.165
17.292	1069	1153.148
17.309	1106	1153.13
17.326	1170	1153.113
17.343	1115	1153.095
17.36	1099	1153.078
17.377	1139	1153.06
17.394	1092	1153.043
17.411	1088	1153.026
17.428	1090	1153.009
17.445	1079	1152.991
17.462	1052	1152.974
17.479	1052	1152.957
17.496	1131	1152.94
17.513	1154	1152.923
17.53	1117	1152.906
17.547	1098	1152.889
17.564	1081	1152.873
17.581	1043	1152.856
17.598	1067	1152.839
17.615	1087	1152.823
17.632	1061	1152.806
17.649	1074	1152.79
17.666	1093	1152.773
17.683	1097	1152.757
17.7	1148	1152.741
17.717	1099	1152.725
17.734	1080	1152.708
17.751	1129	1152.692
17.768	1106	1152.677
17.785	1076	1152.661
17.802	1112	1152.645
17.819	1105	1152.629
17.836	1103	1152.614
17.853	1062	1152.598
17.87	1081	1152.583
17.887	1109	1152.568
17.904	1151	1152.553
17.921	1060	1152.538
17.938	1058	1152.523
17.955	1114	1152.508
17.972	1035	1152.494
17.989	1041	1152.479
18.006	1127	1152.465
18.023	1137	1152.45
18.04	1058	1152.436
18.057	1130	1152.422
18.074	1092	1152.409
18.091	1105	1152.395
18.108	1101	1152.382
18.125	1080	1152.368
18.142	1050	1152.355
18.159	1062	1152.342
18.176	1089	1152.33
18.193	1077	1152.317
18.21	1091	1152.305
18.227	1113	1152.293
18.244	1142	1152.281
18.261	1107	1152.269
18.278	1113	1152.258
18.295	1093	1152.247
18.312	1117	1152.236
18.329	1096	1152.225
18.346	1090	1152.215
18.363	1126	1152.205
18.38	1077	1152.195
18.397	1069	1152.186
18.414	1133	1152.177
18.431	1141	1152.168
18.448	1077	1152.16
18.465	1070	1152.152
18.482	1113	1152.145
18.499	1101	1152.138
18.516	1065	1152.131
18.533	1061	1152.125
18.55	1080	1152.119
18.567	1116	1152.114
18.584	1111	1152.109
18.601	1076	1152.105
18.618	1076	1152.102
18.635	1098	1152.099
18.652	1093	1152.097
18.669	1112	1152.095
18.686	1137	1152.094
18.703	1125	1152.094
18.72	1063	1152.095
18.737	1077	1152.096
18.754	1087	1152.099
18.771	1116	1152.102
18.788	1097	1152.107
18.805	1135	1152.112
18.822	1110	1152.119
18.839	1119	1152.127
18.856	1123	1152.136
18.873	1118	1152.146
18.89	1138	1152.158
18.907	1086	1152.171
18.924	1071	1152.186
18.941	1158	1152.203
18.958	1168	1152.222
18.975	1136	1152.242
18.992	1124	1152.265
19.009	1169	1152.29
19.026	1078	1152.317
19.043	1102	1152.347
19.06	1161	1152.379
19.077	1121	1152.415
19.094	1136	1152.454
19.111	1136	1152.496
19.128	1020	1152.542
19.145	1059	1152.592
19.162	1113	1152.647
19.179	1175	1152.706
19.196	1122	1152.771
19.213	1102	1152.841
19.23	1106	1152.918
19.247	1123	1153.001
19.264	1069	1153.092
19.281	1119	1153.191
19.298	1109	1153.299
19.315	1078	1153.417
19.332	1120	1153.546
19.349	1119	1153.687
19.366	1106	1153.842
19.383	1131	1154.012
19.4	1110	1154.199
19.417	1108	1154.405
19.434	1149	1154.633
19.451	1134	1154.885
19.468	1090	1155.164
19.485	1107	1155.475
19.502	1160	1155.823
19.519	1143	1156.211
19.536	1153	1156.648
19.553	1125	1157.14
19.57	1090	1157.697
19.587	1058	1158.331
19.604	1109	1159.056
19.621	1075	1159.888
19.638	1082	1160.851
19.655	1093	1161.972
19.672	1140	1163.286
19.689	1115	1164.84
19.706	1117	1166.692
19.723	1135	1168.925
19.74	1133	1171.645
19.757	1105	1175.003
19.774	1114	1179.211
19.791	1159	1184.57
19.808	1197	1191.53
19.825	1172	1200.774
19.842	1211	1213.373
19.859	1244	1231.083
19.876	1267	1256.863
19.893	1299	1295.822
19.91	1405	1356.641
19.927	1482	1452.378
19.944	1577	1592.862
19.961	1784	1743.138
19.978	1747	1780.005
19.995	1588	1659.751
20.012	1565	1505.683
20.029	1490	1391.379
20.046	1410	1317.727
20.063	1289	1270.918
20.08	1238	1240.385
20.097	1171	1219.724
20.114	1143	1205.218
20.131	1144	1194.696
20.148	1161	1186.844
20.165	1146	1180.843
20.182	1150	1176.159
20.199	1158	1172.437
20.216	1189	1169.432
20.233	1138	1166.972
20.25	1119	1164.933
20.267	1123	1163.224
20.284	1106	1161.777
20.301	1111	1160.541
20.318	1123	1159.476
20.335	1127	1158.553
20.352	1115	1157.746
20.369	1166	1157.037
20.386	1159	1156.41
20.403	1148	1155.853
20.42	1174	1155.355
20.437	1197	1154.908
20.454	1201	1154.505
20.471	1169	1154.14
20.488	1133	1153.808
20.505	1168	1153.506
20.522	1160	1153.229
20.539	1120	1152.975
20.556	1096	1152.741
20.573	1135	1152.525
20.59	1154	1152.325
