composition delta_e
O0.555600Pr0.222200Pt0.222200 -1.9090826
Ga0.250000Ge0.250000Rh0.500000 -0.49129964
Pd0.250000Cs0.500000Tm0.250000 0.83883095
Mg0.250000V0.250000La0.500000 0.20501396
Mo0.250000Ag0.500000Tb0.250000 0.56103398
Rb0.250000Ho0.500000Os0.250000 0.60276397
Sn0.250000La0.250000Au0.500000 -0.74755455
Cu0.250000Rb0.250000Tc0.500000 1.9618468
Rb0.250000Zr0.500000Sb0.250000 0.51648918
K0.250000In0.250000W0.500000 2.0762841
Ca0.500000Pb0.250000Bi0.250000 -0.59768827
B0.500000Ni0.250000Te0.250000 1.4839908
Cr0.250000Sb0.250000Pt0.250000Hg0.250000 0.18734394
Be0.250000Cu0.250000Sb0.250000Re0.250000 0.5874413
N0.333300Mn0.666700 -0.35552722
Cu0.500000Re0.250000Pa0.250000 0.30606425
Fe0.250000Ni0.250000Cd0.250000Pb0.250000 0.36712268
Ti0.250000Fe0.250000As0.250000Y0.250000 0.014250717
O0.571400Os0.285700Np0.142900 -1.228152
Zn0.500000Ba0.250000La0.250000 -0.15097687
Fe0.250000Eu0.250000Er0.500000 0.38361037
La0.250000Lu0.250000Au0.500000 -0.78596261
Sr0.250000Zr0.500000Ce0.250000 0.60967375
Pd0.250000Lu0.500000Ta0.250000 -0.01098576
Fe0.250000Cu0.250000Hg0.250000Bi0.250000 0.50002974
Ge0.500000Nb0.250000Cs0.250000 1.002594
B0.500000Hg0.250000Pu0.250000 0.74868767
Al0.250000Ge0.500000Au0.250000 0.19589906
B0.500000Ti0.250000Sb0.250000 1.0962138
Nb0.250000Yb0.250000Hg0.500000 0.1149988
Ga0.250000Pd0.500000Hg0.250000 -0.28723892
Ca0.500000Mn0.250000Pb0.250000 -0.028212073
Ba0.250000Ta0.500000Re0.250000 1.1074403
Te0.250000Cs0.500000Nd0.250000 0.19375755
Sc0.250000As0.500000Pr0.250000 -0.93671225
B0.250000Ni0.250000Pd0.250000Hf0.250000 -0.11870745
Tc0.250000In0.500000Hf0.250000 0.1363366
Be0.750000Tl0.250000 0.55535532
Zn0.500000Pr0.250000Th0.250000 -0.22056357
Na0.500000Si0.250000Ba0.250000 -0.038055348
Co0.250000Ga0.500000Au0.250000 0.0022940225
O0.571400Ge0.142900Pr0.285700 -2.6774878
Cu0.500000Zr0.250000La0.250000 0.04118026
O0.111100K0.555600Tl0.333300 -0.4815517
O0.578900Al0.210500Sm0.210500 -3.3884464
Al0.250000Sb0.500000Ho0.250000 -0.19355975
Sc0.250000Tc0.250000Cd0.500000 0.17301452
Rb0.500000Au0.250000Bi0.250000 0.022272151
Ru0.250000W0.750000 0.19662398
Ca0.250000Sr0.500000Ac0.250000 0.083461681
Sc0.500000V0.250000Mo0.250000 0.31867897
Yb0.500000Lu0.250000Os0.250000 0.34009836
O0.571400Na0.142900Si0.285700 -2.1312714
Ni0.250000Ce0.500000Hf0.250000 0.3920812
Sc0.250000Hf0.250000Th0.500000 0.11667261
Sb0.250000Nd0.500000Th0.250000 -0.21756904
Pm0.250000Ir0.500000Np0.250000 -0.37914961
Sc0.250000Y0.500000Sn0.250000 -0.29643447
Sc0.500000La0.250000Lu0.250000 0.096461641
Mg0.250000Ge0.500000As0.250000 0.19832625
Mn0.500000Sm0.250000Ac0.250000 0.35372622
Si0.250000Pa0.250000Pu0.500000 -0.048307729
In0.250000Sb0.250000Ta0.500000 0.40690668
Mg0.250000Cu0.250000Sn0.250000Au0.250000 -0.18575348
K0.500000Fe0.250000Sm0.250000 1.2042715
Na0.333300Ti0.333300Sm0.333300 1.0798733
Be0.250000Sr0.500000Th0.250000 0.92806899
Li0.400000N0.400000Th0.200000 -1.1527396
Mo0.250000Dy0.500000Pt0.250000 -0.23306979
Ni0.750000Y0.250000 -0.40150461
In0.500000Pr0.250000Th0.250000 -0.32542452
Si0.250000Tm0.500000U0.250000 0.31820712
As0.250000Nb0.250000Lu0.500000 -0.042686599
As0.500000Ta0.250000U0.250000 -0.41342558
