run_number,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,parameter_15,parameter_16,parameter_17,parameter_18,parameter_19,label
0,90.4200729566443,89.2528571399068,90.17478112906194,72.06543000578769,70.80925316824056,84.81041178326059,76.34638740436212,94.39339159841008,85.21775956829899,75.410900207819,73.61439247053715,95.19541257615882,90.8320914801202,94.08853096256941,85.44539384623201,75.35514207625664,87.33220012487507,90.03152178306247,93.74457620802036,91.23369234635278,0
1,81.39845603627616,73.59182426538791,90.7708676516811,81.49534930714421,77.26943355828722,70.10186900984236,85.6700507107928,76.87228230285413,86.46515489249546,86.23953622520845,70.16504271552543,94.03170590611546,77.99715388304664,81.13620334294552,85.866503322919,75.02638225781706,71.33378647141632,56.34743343026335,91.789910983065,88.18592773140487,1
2,94.53440679687971,89.41328174322054,79.7626310019217,85.97383696765127,87.41093803788267,65.89211454006549,78.26734998032883,58.79740213657504,72.40136268531009,63.57973800738163,77.33241399603868,87.20998672516289,77.5540421247574,76.69779310567627,74.30096479407004,88.25386466657032,54.94946202828346,55.221706055546406,91.51443138383051,78.13399064303009,0
3,72.9840646251079,72.98463413048405,70.08330988615444,91.97432556102196,85.7739892623552,87.59934697819577,77.7110704739179,85.12507603782082,87.55392324611971,69.71566980751462,92.14888212836807,80.63000917397343,85.91452648980179,82.47642436938722,80.7234264994273,81.37566092837153,77.57999969159431,83.70440967400654,74.49119967516839,79.70990692953575,0
4,69.75630489870386,72.5382663275478,69.92729498165819,70.06490194880955,52.18768819204018,59.13911002620506,64.42731970374048,77.128529713509,77.10185707831566,70.15148177393034,75.3407790857661,75.40539368307694,75.0953135185393,64.90928740858297,81.01234038863953,90.67461346327492,73.79005483197768,62.10039075858678,82.35932903004334,88.59672218792986,1
5,84.00489228736406,83.40421591945695,90.33679904424335,73.2471545051621,70.56404364430767,64.97121775058613,69.91194035516776,66.80730751376353,79.85449674274788,90.68354145446881,88.76677272529068,78.66267899866644,72.79350906786972,63.77091838564435,86.00395994631798,77.73189109740271,86.80911481125028,87.88551080291705,80.59658129258052,67.20168339690292,1
6,53.42264320806678,74.32355430555648,66.33893924254457,77.3714530689236,77.03247493771927,65.452138221177,84.26859910403569,74.71853332366395,85.43005035979175,78.67235713179352,81.19556161515003,69.29179132650029,62.355415522772205,52.375533545060456,65.14060196466032,70.5055590648133,54.930428584487046,75.42361860083494,60.60686772032145,69.61521795391803,0
7,69.15790809524638,75.38974410484681,73.748938763282,79.77289397415177,68.56789257498241,69.34793003822557,68.72701320639074,69.65837513848271,79.92551505191318,58.75027045769728,67.2551752253368,65.98660919887216,78.87860697140799,83.71097860403496,82.75559431604836,77.80128570887494,72.22128150867661,81.14944856173453,82.59241593292317,76.73699794768542,0
8,64.52106479082326,77.8946150797629,73.79536037955737,65.99494459916191,73.85683597605134,75.50301801153486,64.79688022527571,65.87217572591976,77.6597105599743,69.40905892120932,73.32544278289119,83.6636860276492,73.81388091611116,77.07578259248858,80.9198122926897,70.37592062879814,61.73523120327933,69.47435464170034,89.18106860882475,68.36061965652274,0
9,84.50106721027673,71.88189043698847,84.94835446713924,77.401462277391,78.5607858238552,70.97803223434617,77.42573477907105,75.95367495582063,83.30067771347872,83.19820519326676,73.28790111359206,91.76497006769922,61.0193867618877,71.50517943194734,77.56604311566083,77.27935429760079,77.34614928394123,67.85371542276765,94.58876239938455,75.89490809024859,0
10,73.4393617381865,69.26291075775637,78.08154000291627,70.36897795797844,71.12108220939757,79.98172004007691,67.58835059322537,71.7698882410442,80.85000811478315,67.34021827161472,68.83672837985635,80.5620642502484,77.8804233365707,57.07173403866254,69.91888333272084,74.00848958563022,68.20741139633472,60.9702546822035,63.615956976061824,73.94291568125753,0
11,76.85331395457716,89.8873430935068,80.34784463839111,67.44525259401348,69.04074029602883,66.31374999522042,65.35750817587504,78.64139356037474,79.13908146300581,68.96974954230198,79.66515388170015,84.80935368048773,70.57267674859602,78.56180228289742,74.45988550756606,77.76756849585965,73.98056961213702,74.16307835754641,75.01802565308799,80.46472354963414,0
12,80.93163801470719,91.44909821067223,81.61956026875426,59.3475891124778,61.729997387820696,61.88948347349165,77.96529675886745,78.77255951804993,82.76123504578901,83.6283202329071,76.122512418995,79.19053531522931,60.74725713914784,82.94041236225095,89.00962561604717,54.05421315886753,93.39084225515732,96.50645414904166,82.12725973502438,84.31808680184132,0
13,71.82325554068656,62.721752660893294,68.87981712952667,66.03417635461653,55.81189727937186,54.8862943174868,73.23466435065224,77.86278488221724,73.86517110098619,69.72800129294622,71.80960992141314,76.00153764628371,59.26982516147167,73.51049523926349,73.85743473882266,73.96798023845245,67.06291367250408,58.00552489459272,64.23074412783144,63.081398515244025,0
14,82.83686590578024,66.28079367894473,74.50395153549738,83.48708263414672,66.70419740974987,80.82037874710345,72.6248381994054,64.76182728863057,83.5374649066512,70.88197509890087,86.82209469518,69.8002418430865,75.27972724106526,54.928069548166405,56.31042138198724,69.51875300489378,55.058337443179894,75.66391362221344,71.21599442536234,67.94457472707903,0
15,73.60836349914189,81.41591407450927,73.25853518228794,96.927744594844,94.76103012764713,94.07792077731621,87.33984451101674,91.74612557493448,88.7108700996547,91.55373243565431,92.2444796641533,93.12202319595312,91.98724150652453,84.51852854029956,87.70697978219589,89.65414043816651,69.22846377454626,75.87689564921006,85.50123977680244,83.36032743275807,0
16,80.13446510872474,75.52900559586777,76.54640543918326,89.18930240533052,90.28480839871445,89.98606291635357,80.31409837943934,78.48644567928709,91.71246243576117,74.67868144376038,83.10174208305371,82.62998743955879,80.02918573273406,85.23058642586989,66.1377556918696,79.29050264545147,65.77731859632156,64.1129955043118,84.82175941940248,77.69603202346356,0
