FORMULA,CONDITION: Temperature (K),PROPERTY: Heat Capacity (J/mol K)
B2O3,1400,134.306
B2O3,1300,131.294
B2O3,1200,128.072
B2O3,1100,124.516
B2O3,1000,120.625
B2O3,900,116.19
B2O3,800,111.169
B2O3,723,106.692
B2O3,700,105.228
B2O3,600,98.115
B2O3,500,89.287
B2O3,400,77.948
B2O3,300,62.927
B2O3,298,62.588
Be1O4W1,1900,193.092
Be1O4W1,1800,188.698
Be1O4W1,1700,184.305
Be1O4W1,1600,179.912
Be1O4W1,1500,175.435
Be1O4W1,1400,171.126
Be1O4W1,1300,166.649
Be1O4W1,1200,162.256
Be1O4W1,1100,157.737
Be1O4W1,1000,153.009
Be1O4W1,900,148.114
Be1O4W1,800,142.884
Be1O4W1,700,137.319
Be1O4W1,600,131.336
Be1O4W1,500,123.512
Be1O4W1,400,112.968
Be1O4W1,300,97.696
Be1O4W1,298,97.278
Be1I2,1400,89.341
Be1I2,1300,89.115
Be1I2,1200,88.78
Be1I2,1100,88.337
Be1I2,1000,87.789
Be1I2,900,87.132
Be1I2,800,86.366
Be1I2,753,85.944
Be1I2,700,85.467
Be1I2,600,84.19
Be1I2,500,81.638
Be1I2,400,76.868
Be1I2,300,69.128
Be1I2,298,68.961
Be1F3Li1,1100,192.464
Be1F3Li1,1000,179.912
Be1F3Li1,900,167.36
Be1F3Li1,800,154.808
Be1F3Li1,700,142.256
Be1F3Li1,650,135.98
Be1F3Li1,600,129.704
Be1F3Li1,500,117.152
Be1F3Li1,400,104.6
Be1F3Li1,300,92.048
Be1F3Li1,298,91.816
Al1Cl4K1,900,199.995
Al1Cl4K1,800,196.648
Al1Cl4K1,700,190.79
Al1Cl4K1,600,183.176
Al1Cl4K1,500,174.305
Al1Cl4K1,400,165.477
Al1Cl4K1,300,156.649
Al1Cl4K1,298,156.482
Al2Be1O4,2300,248.548
Al2Be1O4,2200,233.098
Al2Be1O4,2146,226.25
Al2Be1O4,2100,220.19
Al2Be1O4,2000,209.49
Al2Be1O4,1900,201.57
Al2Be1O4,1800,195.79
Al2Be1O4,1700,191.56
Al2Be1O4,1600,188.41
Al2Be1O4,1500,185.91
Al2Be1O4,1400,183.75
Al2Be1O4,1300,181.67
Al2Be1O4,1200,179.48
Al2Be1O4,1100,177.03
Al2Be1O4,1000,174.2
Al2Be1O4,900,170.87
Al2Be1O4,800,166.83
Al2Be1O4,700,161.75
Al2Be1O4,600,154.97
Al2Be1O4,500,145.25
Al2Be1O4,400,130.28
Al2Be1O4,300,105.94
Al2Be1O4,298,105.38
B2H4O4,1400,258.99
B2H4O4,1300,253.801
B2H4O4,1200,247.442
B2H4O4,1100,239.994
B2H4O4,1000,231.333
B2H4O4,900,221.459
B2H4O4,800,210.413
B2H4O4,700,197.025
B2H4O4,600,181.711
B2H4O4,500,163.762
B2H4O4,400,143.135
B2H4O4,300,116.775
B2H4O4,298,116.19
Be1S1,2900,68.178
Be1S1,2800,67.739
Be1S1,2700,67.3
Be1S1,2600,66.86
Be1S1,2500,66.421
Be1S1,2400,65.982
Be1S1,2300,65.542
Be1S1,2200,65.103
Be1S1,2100,64.664
Be1S1,2000,64.224
Be1S1,1900,63.769
Be1S1,1800,63.304
Be1S1,1700,62.859
Be1S1,1600,62.425
Be1S1,1500,61.955
Be1S1,1400,61.463
Be1S1,1300,60.762
Be1S1,1200,59.915
Be1S1,1100,58.968
Be1S1,1000,57.907
Be1S1,900,56.651
Be1S1,800,55.145
Be1S1,700,53.346
Be1S1,600,51.045
Be1S1,500,47.698
Be1S1,400,42.551
Be1S1,300,34.309
Be1S1,298,34.016
B1Na1O2,1900,112.162
B1Na1O2,1800,111.356
B1Na1O2,1700,110.549
B1Na1O2,1600,109.742
B1Na1O2,1500,108.935
B1Na1O2,1400,108.127
B1Na1O2,1300,107.32
B1Na1O2,1240,106.859
B1Na1O2,1200,106.608
B1Na1O2,1100,105.269
B1Na1O2,1000,103.219
B1Na1O2,900,100.5
B1Na1O2,800,97.236
B1Na1O2,700,93.303
B1Na1O2,600,88.575
B1Na1O2,500,82.718
B1Na1O2,400,75.396
B1Na1O2,300,66.149
B1Na1O2,298,65.94
B2Mg1,1900,92.242
B2Mg1,1800,90.249
B2Mg1,1700,88.162
B2Mg1,1600,85.981
B2Mg1,1500,83.643
B2Mg1,1400,81.17
B2Mg1,1300,78.795
B2Mg1,1200,76.442
B2Mg1,1100,74.078
B2Mg1,1000,71.714
B2Mg1,900,69.162
B2Mg1,800,66.526
B2Mg1,700,64.015
B2Mg1,600,61.379
B2Mg1,500,58.409
B2Mg1,400,54.392
B2Mg1,300,47.865
B2Mg1,298,47.823
B1H4Na1,1900,133.679
B1H4Na1,1800,133.553
B1H4Na1,1700,133.511
B1H4Na1,1600,133.428
B1H4Na1,1500,133.302
B1H4Na1,1400,133.135
B1H4Na1,1300,132.675
B1H4Na1,1200,131.754
B1H4Na1,1100,130.039
B1H4Na1,1000,127.445
B1H4Na1,900,124.265
B1H4Na1,800,120.248
B1H4Na1,700,115.269
B1H4Na1,600,108.617
B1H4Na1,500,101.797
B1H4Na1,400,94.558
B1H4Na1,300,86.642
B1H4Na1,298,86.483
