x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
16,1163,0.00086,1151.37,1151.342,0.978,1.345418019,2.551079257
16.017,1092,0.00092,1151.352,1151.324,0.979,2.197066965,2.945718933
16.034,1079,0.00093,1151.334,1151.306,0.98,2.576305584,4.165837187
16.051,1107,0.0009,1151.315,1151.287,0.981,2.690873289,4.884878675
16.068,1103,0.00091,1151.297,1151.269,0.982,3.107136793,5.102068661
16.085,1095,0.00091,1151.279,1151.251,0.983,3.385916591,
16.102,1046,0.00096,1151.261,1151.233,0.984,3.805457358,
16.119,1102,0.00091,1151.243,1151.214,0.985,4.036292922,
16.136,1070,0.00093,1151.225,1151.196,0.986,4.036292922,
16.153,1079,0.00093,1151.207,1151.178,0.987,4.394158697,
16.17,1085,0.00092,1151.189,1151.16,0.988,4.595514981,
16.187,1076,0.00093,1151.171,1151.142,0.989,4.660721686,
16.204,1114,0.0009,1151.153,1151.123,0.99,4.912821074,
16.221,1129,0.00089,1151.135,1151.105,0.991,5.093718002,
16.238,1105,0.0009,1151.117,1151.087,0.992,5.15260191,
16.255,1098,0.00091,1151.099,1151.069,0.993,,
16.272,1070,0.00093,1151.081,1151.051,0.994,,
16.289,1085,0.00092,1151.063,1151.033,0.995,,
16.306,1082,0.00092,1151.045,1151.014,0.996,,
16.323,1078,0.00093,1151.027,1150.996,0.997,,
16.34,1097,0.00091,1151.009,1150.978,0.998,,
16.357,1115,0.0009,1150.991,1150.96,0.999,,
16.374,1071,0.00093,1150.973,1150.942,1,,
16.391,1033,0.00097,1150.956,1150.924,1.001,,
16.408,1092,0.00092,1150.938,1150.906,1.002,,
16.425,1116,0.0009,1150.92,1150.888,1.003,,
16.442,1086,0.00092,1150.902,1150.87,1.004,,
16.459,1082,0.00092,1150.884,1150.852,1.005,,
16.476,1083,0.00092,1150.866,1150.834,1.007,,
16.493,1098,0.00091,1150.849,1150.816,1.008,,
16.51,1093,0.00091,1150.831,1150.798,1.009,,
16.527,1070,0.00093,1150.813,1150.78,1.01,,
16.544,1087,0.00092,1150.795,1150.762,1.011,,
16.561,1114,0.0009,1150.778,1150.744,1.012,,
16.578,1089,0.00092,1150.76,1150.727,1.013,,
16.595,1060,0.00094,1150.742,1150.709,1.014,,
16.612,1074,0.00093,1150.725,1150.691,1.015,,
16.629,1102,0.00091,1150.707,1150.673,1.016,,
16.646,1095,0.00091,1150.69,1150.655,1.017,,
16.663,1102,0.00091,1150.672,1150.637,1.018,,
16.68,1116,0.0009,1150.655,1150.62,1.019,,
16.697,1087,0.00092,1150.637,1150.602,1.02,,
16.714,1116,0.0009,1150.619,1150.584,1.021,,
16.731,1111,0.0009,1150.602,1150.566,1.022,,
16.748,1074,0.00093,1150.585,1150.549,1.023,,
16.765,1064,0.00094,1150.567,1150.531,1.024,,
16.782,1082,0.00092,1150.55,1150.513,1.025,,
16.799,1144,0.00087,1150.532,1150.496,1.026,,
16.816,1097,0.00091,1150.515,1150.478,1.027,,
16.833,1056,0.00095,1150.498,1150.461,1.028,,
16.85,1051,0.00095,1150.48,1150.443,1.029,,
16.867,1119,0.00089,1150.463,1150.426,1.03,,
16.884,1119,0.00089,1150.446,1150.408,1.031,,
16.901,1123,0.00089,1150.428,1150.391,1.032,,
16.918,1102,0.00091,1150.411,1150.373,1.033,,
16.935,1122,0.00089,1150.394,1150.356,1.034,,
16.952,1123,0.00089,1150.377,1150.338,1.035,,
16.969,1123,0.00089,1150.36,1150.321,1.036,,
16.986,1113,0.0009,1150.343,1150.303,1.037,,
17.003,1105,0.0009,1150.326,1150.286,1.038,,
17.02,1114,0.0009,1150.309,1150.269,1.04,,
17.037,1121,0.00089,1150.292,1150.252,1.041,,
17.054,1095,0.00091,1150.275,1150.234,1.042,,
17.071,1135,0.00088,1150.258,1150.217,1.043,,
17.088,1125,0.00089,1150.241,1150.2,1.044,,
17.105,1103,0.00091,1150.224,1150.183,1.045,,
17.122,1047,0.00096,1150.207,1150.166,1.046,,
17.139,1066,0.00094,1150.19,1150.149,1.047,,
17.156,1070,0.00093,1150.173,1150.132,1.048,,
17.173,1058,0.00095,1150.157,1150.115,1.049,,
17.19,1067,0.00094,1150.14,1150.098,1.05,,
17.207,1098,0.00091,1150.123,1150.081,1.051,,
17.224,1111,0.0009,1150.107,1150.064,1.052,,
17.241,1120,0.00089,1150.09,1150.047,1.053,,
17.258,1097,0.00091,1150.074,1150.03,1.054,,
17.275,1052,0.00095,1150.057,1150.013,1.055,,
17.292,1069,0.00094,1150.041,1149.997,1.056,,
17.309,1106,0.0009,1150.024,1149.98,1.057,,
17.326,1170,0.00085,1150.008,1149.963,1.058,,
17.343,1115,0.0009,1149.992,1149.947,1.059,,
17.36,1099,0.00091,1149.976,1149.93,1.06,,
17.377,1139,0.00088,1149.959,1149.913,1.061,,
17.394,1092,0.00092,1149.943,1149.897,1.062,,
17.411,1088,0.00092,1149.927,1149.881,1.063,,
17.428,1090,0.00092,1149.911,1149.864,1.064,,
17.445,1079,0.00093,1149.895,1149.848,1.065,,
17.462,1052,0.00095,1149.879,1149.832,1.066,,
17.479,1052,0.00095,1149.863,1149.815,1.067,,
17.496,1131,0.00088,1149.848,1149.799,1.068,,
17.513,1154,0.00087,1149.832,1149.783,1.069,,
17.53,1117,0.0009,1149.816,1149.767,1.07,,
17.547,1098,0.00091,1149.801,1149.751,1.071,,
17.564,1081,0.00093,1149.785,1149.735,1.072,,
17.581,1043,0.00096,1149.77,1149.719,1.074,,
17.598,1067,0.00094,1149.754,1149.704,1.075,,
17.615,1087,0.00092,1149.739,1149.688,1.076,,
17.632,1061,0.00094,1149.724,1149.672,1.077,,
17.649,1074,0.00093,1149.708,1149.657,1.078,,
17.666,1093,0.00091,1149.693,1149.641,1.079,,
17.683,1097,0.00091,1149.678,1149.626,1.08,,
17.7,1148,0.00087,1149.663,1149.611,1.081,,
17.717,1099,0.00091,1149.649,1149.595,1.082,,
17.734,1080,0.00093,1149.634,1149.58,1.083,,
17.751,1129,0.00089,1149.619,1149.565,1.084,,
17.768,1106,0.0009,1149.605,1149.55,1.085,,
17.785,1076,0.00093,1149.59,1149.535,1.086,,
17.802,1112,0.0009,1149.576,1149.52,1.087,,
17.819,1105,0.0009,1149.562,1149.506,1.088,,
17.836,1103,0.00091,1149.547,1149.491,1.089,,
