formula,Property Bulk modulus,Property Bulk modulus units
Hf$_{3}$Sb,114,GPa
PtN$_{2}$,120,GPa
Be$_{2}$B,150,GPa
BaS,41,GPa
TePt,55,GPa
LiZnPS$_{4}$,31,GPa
VP,179,GPa
La$_{3}$Si$_{2}$,58,GPa
Mg$_{2}$Si,53,GPa
CuNi$_{3}$N,196,GPa
Sn$_{2}$Pd,81,GPa
ZnNi$_{3}$C,190,GPa
TiTc,207,GPa
CuPt$_{7}$,245,GPa
ScTlTe$_{2}$,34,GPa
TiAu,137,GPa
Mo(WSe$_{3}$)$_{2}$,30,GPa
ZrGaAu,127,GPa
Be$_{2}$Mo,199,GPa
CrCo,210,GPa
BAs,128,GPa
MgCd,43,GPa
ScN,141,GPa
NbSiPt,215,GPa
ZrMoP,198,GPa
YAlPd,94,GPa
ScTlSe$_{2}$,41,GPa
Ge$_{2}$Pt,120,GPa
ZrB$_{6}$,179,GPa
YNi,79,GPa
C,350,GPa
NiTe,37,GPa
MgPPt$_{5}$,198,GPa
AlPt$_{2}$,207,GPa
BaAlSi,50,GPa
B,212,GPa
Sb$_{2}$Pd,84,GPa
Ga$_{2}$Cu,78,GPa
MnAu$_{4}$,129,GPa
MgZn$_{2}$,64,GPa
Mn$_{3}$Al$_{9}$Si,117,GPa
LaMg,35,GPa
HfGaAu,134,GPa
FeP,183,GPa
Si$_{2}$W,219,GPa
BaO$_{2}$,67,GPa
SrCuAs,58,GPa
AgSbTe$_{2}$,52,GPa
MgCu$_{2}$,94,GPa
TaN,338,GPa
NaZnAs,39,GPa
Zr$_{6}$Al$_{2}$Co,107,GPa
ScAg,82,GPa
LiGaSe$_{2}$,35,GPa
MnPt,168,GPa
UB$_{2}$,211,GPa
SiRu$_{2}$,258,GPa
FeS$_{2}$,150,GPa
MgNiSb,86,GPa
YMgAl,57,GPa
YMgTl,54,GPa
Y$_{3}$GaC,79,GPa
Al$_{2}$W,160,GPa
MgSc,48,GPa
AlRe,220,GPa
Mn$_{2}$Ge,186,GPa
MnSbIr,132,GPa
ScTe,65,GPa
BaLiP,39,GPa
CaCd,31,GPa
ZnSnO$_{3}$,167,GPa
NiAsSe,101,GPa
MoIr$_{3}$,337,GPa
CrSb,72,GPa
Al$_{3}$Os$_{2}$,203,GPa
As,51,GPa
YTlPd,84,GPa
AlCu$_{3}$,133,GPa
O$_{2}$,6,GPa
Cd$_{2}$Hg,40,GPa
CdTe,35,GPa
TlCu$_{3}$S$_{2}$,45,GPa
Ti$_{2}$O,184,GPa
Ag$_{3}$Pt,120,GPa
TiRh$_{3}$,230,GPa
AlCrFe$_{2}$,239,GPa
InSb,45,GPa
TaNi$_{2}$,214,GPa
Ti$_{3}$As,126,GPa
VSi$_{2}$,175,GPa
Hf$_{3}$(SiCu$_{2}$)$_{2}$,148,GPa
ScGa$_{2}$,81,GPa
MnAu,116,GPa
Ti$_{2}$AlC,137,GPa
Rb$_{2}$PtC$_{2}$,49,GPa
HfSiPt,193,GPa
VPt$_{2}$,247,GPa
TiIr,228,GPa
Ta$_{2}$AlC,194,GPa
CaAl$_{9}$Co$_{2}$,85,GPa
ScCuSn,86,GPa
ScPRu,175,GPa
CdCu$_{2}$,100,GPa
SbTePd,81,GPa
HfSiTe,51,GPa
Nb$_{3}$Ge,172,GPa
TiTl$_{2}$F$_{6}$,26,GPa
TiIr$_{3}$,294,GPa
AsPdS,103,GPa
Cu$_{2}$S,97,GPa
BeB$_{2}$,203,GPa
SrMg$_{2}$N$_{2}$,94,GPa
SiRh,221,GPa
Zr$_{6}$Sb$_{2}$Pt,120,GPa
TiCdHg$_{2}$,73,GPa
AlPt,185,GPa
YAgTe$_{2}$,41,GPa
YCo$_{4}$B,166,GPa
TiB$_{2}$,256,GPa
Ga$_{2}$Se$_{3}$,28,GPa
CaSn$_{2}$Rh,67,GPa
Be$_{12}$Cr,128,GPa
Zr$_{4}$Al$_{3}$,108,GPa
Mg(Co$_{3}$P$_{2}$)$_{2}$,203,GPa
Yb(FeP$_{3}$)$_{4}$,150,GPa
Sb$_{2}$Te$_{3}$,23,GPa
AlP,85,GPa
LiGe$_{2}$N$_{3}$,126,GPa
CoAs,164,GPa
Zr$_{3}$Au,118,GPa
V$_{3}$Rh,217,GPa
HfN,197,GPa
AlCr$_{2}$,187,GPa
Li$_{2}$CdSn,37,GPa
NbPt$_{2}$,245,GPa
AlAgTe$_{2}$,42,GPa
Zr$_{3}$Al,101,GPa
W,299,GPa
TiBe$_{12}$,122,GPa
ScIr,166,GPa
TiPt$_{3}$,237,GPa
ZrSi$_{2}$,127,GPa
SiC,241,GPa
AlFeCo$_{2}$,188,GPa
Ba(CuSe)$_{2}$,54,GPa
Nb$_{2}$O$_{5}$,144,GPa
AlAuO$_{2}$,175,GPa
GaCuO$_{2}$,158,GPa
Ta$_{2}$N,273,GPa
Ca$_{6}$FeN$_{5}$,76,GPa
NbAgO$_{3}$,190,GPa
Y$_{2}$(Al$_{3}$Co)$_{3}$,111,GPa
TiBe,126,GPa
MoIr,310,GPa
HfPt,185,GPa
Y$_{2}$AlSi$_{2}$,88,GPa
CeMg,67,GPa
CuSn,77,GPa
LiRhO$_{2}$,126,GPa
Mn$_{3}$ZnN,195,GPa
BeAu$_{2}$,139,GPa
Cu$_{2}$GeTe$_{3}$,49,GPa
Pr,32,GPa
V$_{3}$Co,211,GPa
SrLiP,45,GPa
CuAs,102,GPa
PtO$_{2}$,205,GPa
Ba$_{3}$SbN,27,GPa
